date,field,altitude,source_folder,mission_name,mission_path,phase
2025-05-30,EXP1,HA,0_Pre,20250530_RBD_REPAR_exp1_HA,D:\Yatharth_Internship\1_Final_Dataset\exp1\0_Pre\20250530_RBD_REPAR_exp1_HA,Phase_B
2025-05-30,EXP2,LA,1_New,20250530_RBD_REPAR_exp2_LA,D:\Yatharth_Internship\1_Final_Dataset\exp2\1_New\20250530_RBD_REPAR_exp2_LA,Phase_B
2025-05-30,EXP2,HA,1_New,20250530_RBD_REPAR_exp2_HA,D:\Yatharth_Internship\1_Final_Dataset\exp2\1_New\20250530_RBD_REPAR_exp2_HA,Phase_B
2025-06-05,EXP1,LA,1_New,20250605_RBD_Vallreparera_exp1_LA,D:\Yatharth_Internship\1_Final_Dataset\exp1\1_New\20250605_RBD_Vallreparera_exp1_LA,Phase_B
2025-06-05,EXP1,HA,1_New,20250605_RBD_Vallreparera_exp1_HA,D:\Yatharth_Internship\1_Final_Dataset\exp1\1_New\20250605_RBD_Vallreparera_exp1_HA,Phase_B
2025-06-05,EXP2,LA,1_New,20250605_RBD_Vallreparera_exp2_LA,D:\Yatharth_Internship\1_Final_Dataset\exp2\1_New\20250605_RBD_Vallreparera_exp2_LA,Phase_B
2025-06-05,EXP2,HA,1_New,20250605_RBD_Vallreparera_exp2_HA,D:\Yatharth_Internship\1_Final_Dataset\exp2\1_New\20250605_RBD_Vallreparera_exp2_HA,Phase_B
2025-06-11,EXP1,LA,1_New,20250611_RBD_REPAR_exp1_LA,D:\Yatharth_Internship\1_Final_Dataset\exp1\1_New\20250611_RBD_REPAR_exp1_LA,Phase_B
2025-06-11,EXP1,HA,1_New,20250611_RBD_REPAR_exp1_HA,D:\Yatharth_Internship\1_Final_Dataset\exp1\1_New\20250611_RBD_REPAR_exp1_HA,Phase_B
2025-06-11,EXP2,LA,1_New,20250611_RBD_REPAR_exp2_LA,D:\Yatharth_Internship\1_Final_Dataset\exp2\1_New\20250611_RBD_REPAR_exp2_LA,Phase_B
2025-06-11,EXP2,HA,1_New,20250611_RBD_REPAR_exp2_HA,D:\Yatharth_Internship\1_Final_Dataset\exp2\1_New\20250611_RBD_REPAR_exp2_HA,Phase_B
